epoch:274, epoch_loss:0.17171
epoch:275, epoch_loss:0.16797
epoch:276, epoch_loss:0.16656
epoch:277, epoch_loss:0.16685
epoch:278, epoch_loss:0.16704
epoch:279, epoch_loss:0.16626
epoch:280, epoch_loss:0.16685
epoch:281, epoch_loss:0.16528
epoch:282, epoch_loss:0.16489
epoch:283, epoch_loss:0.16535
epoch:284, epoch_loss:0.16593
epoch:285, epoch_loss:0.16369
epoch:286, epoch_loss:0.16310
epoch:287, epoch_loss:0.16475
epoch:288, epoch_loss:0.16296
epoch:289, epoch_loss:0.16260
epoch:290, epoch_loss:0.16310
epoch:291, epoch_loss:0.16279
epoch:292, epoch_loss:0.16074
epoch:293, epoch_loss:0.15953
epoch:294, epoch_loss:0.16265
epoch:295, epoch_loss:0.16185
epoch:296, epoch_loss:0.16200
epoch:297, epoch_loss:0.16132
epoch:298, epoch_loss:0.15947
epoch:299, epoch_loss:0.16122
epoch:300, epoch_loss:0.16066
epoch:301, epoch_loss:0.15950
epoch:302, epoch_loss:0.15836
epoch:303, epoch_loss:0.15893
epoch:304, epoch_loss:0.15680
epoch:305, epoch_loss:0.15853
epoch:306, epoch_loss:0.15699
epoch:307, epoch_loss:0.15809
epoch:308, epoch_loss:0.15790
epoch:309, epoch_loss:0.15690
epoch:310, epoch_loss:0.15743
epoch:311, epoch_loss:0.15515
epoch:312, epoch_loss:0.15917
epoch:313, epoch_loss:0.15708
epoch:314, epoch_loss:0.15448
epoch:315, epoch_loss:0.15477
epoch:316, epoch_loss:0.15502
epoch:317, epoch_loss:0.15398
epoch:318, epoch_loss:0.15201
epoch:319, epoch_loss:0.15273
epoch:320, epoch_loss:0.15370
epoch:321, epoch_loss:0.15495
epoch:322, epoch_loss:0.15406
epoch:323, epoch_loss:0.15522
epoch:324, epoch_loss:0.15565
epoch:325, epoch_loss:0.15177
epoch:326, epoch_loss:0.15250
epoch:327, epoch_loss:0.15495
epoch:328, epoch_loss:0.15295
epoch:329, epoch_loss:0.15240
epoch:330, epoch_loss:0.15384
epoch:331, epoch_loss:0.15284
epoch:332, epoch_loss:0.15141
epoch:333, epoch_loss:0.15255
epoch:334, epoch_loss:0.15137
epoch:335, epoch_loss:0.15080
epoch:336, epoch_loss:0.15275
epoch:337, epoch_loss:0.15526
epoch:338, epoch_loss:0.15172
epoch:339, epoch_loss:0.15163
epoch:340, epoch_loss:0.15195
epoch:341, epoch_loss:0.15108
epoch:342, epoch_loss:0.15039
epoch:343, epoch_loss:0.14942
epoch:344, epoch_loss:0.14971
epoch:345, epoch_loss:0.14873
epoch:346, epoch_loss:0.14918
epoch:347, epoch_loss:0.14796
epoch:348, epoch_loss:0.14741
epoch:349, epoch_loss:0.14910
epoch:350, epoch_loss:0.14877
epoch:351, epoch_loss:0.14837
epoch:352, epoch_loss:0.14673
epoch:353, epoch_loss:0.14813
epoch:354, epoch_loss:0.14691
epoch:355, epoch_loss:0.14914
epoch:356, epoch_loss:0.14653
epoch:357, epoch_loss:0.14725
epoch:358, epoch_loss:0.14558
epoch:359, epoch_loss:0.14604
epoch:360, epoch_loss:0.14798
epoch:361, epoch_loss:0.14559
epoch:362, epoch_loss:0.14682
epoch:363, epoch_loss:0.14416
epoch:364, epoch_loss:0.14561
epoch:365, epoch_loss:0.14519
epoch:366, epoch_loss:0.14578
epoch:367, epoch_loss:0.14430
epoch:368, epoch_loss:0.14354
epoch:369, epoch_loss:0.14399
epoch:370, epoch_loss:0.14270
epoch:371, epoch_loss:0.14505
epoch:372, epoch_loss:0.14423
epoch:373, epoch_loss:0.14319
epoch:374, epoch_loss:0.14696
epoch:375, epoch_loss:0.14387
epoch:376, epoch_loss:0.14273
epoch:377, epoch_loss:0.14326
epoch:378, epoch_loss:0.14337
epoch:379, epoch_loss:0.14281
epoch:380, epoch_loss:0.14318
epoch:381, epoch_loss:0.14200
epoch:382, epoch_loss:0.14175
epoch:383, epoch_loss:0.14227
epoch:384, epoch_loss:0.14267
epoch:385, epoch_loss:0.14088
epoch:386, epoch_loss:0.14040
epoch:387, epoch_loss:0.14181
epoch:388, epoch_loss:0.14047
epoch:389, epoch_loss:0.14039
epoch:390, epoch_loss:0.14072
epoch:391, epoch_loss:0.14051
epoch:392, epoch_loss:0.13892
epoch:393, epoch_loss:0.13796
epoch:394, epoch_loss:0.14055
epoch:395, epoch_loss:0.14000
epoch:396, epoch_loss:0.14020
epoch:397, epoch_loss:0.13975
epoch:398, epoch_loss:0.13812
epoch:399, epoch_loss:0.13969
epoch:400, epoch_loss:0.13945
epoch:401, epoch_loss:0.13841
epoch:402, epoch_loss:0.13776
epoch:403, epoch_loss:0.13830
epoch:404, epoch_loss:0.13640
epoch:405, epoch_loss:0.13803
epoch:406, epoch_loss:0.13668
epoch:407, epoch_loss:0.13772
